data,sessao_tipo,colegiado,colegiado_desc,sessao_id,sessao_numero,sessao_ano,sessao_data_inicio,sessao_data_fim,sessao_hora_inicio,sessao_tipo,sessao_obs,inc_cadeia,inc_classe,inc_numero,inc_idInformacaoPautaProcesso,inc_materiaRelevante,inc_ministroVista,inc_relator,inc_repercussaoGeral,inc_situacaoProcessoSessao
10/08/2023,E,TP,Plenário,68913,23,2023,2023-08-10,,14:00,E,,,ADI,6305,155344,N,,LUIZ FUX,,S
15/08/2023,O,1T,Primeira Turma,70140,4,2023,2023-08-15,,14:30,O,,AG.REG. NA RECLAMAÇÃO,Rcl,59143,166930,N,,LUÍS ROBERTO BARROSO,,J
15/08/2023,O,1T,Primeira Turma,70140,4,2023,2023-08-15,,14:30,O,,EMB.DECL. NOS EMB.DECL. NA EXTRADIÇÃO,Ext,1763,167011,N,,CÁRMEN LÚCIA,,J
16/08/2023,O,TP,Plenário,70809,23,2023,2023-08-16,,14:00,O,,,ADI,6298,155340,N,,LUIZ FUX,,S
16/08/2023,O,TP,Plenário,70809,23,2023,2023-08-16,,14:00,O,,,ADI,6299,155343,N,,LUIZ FUX,,S
16/08/2023,O,TP,Plenário,70809,23,2023,2023-08-16,,14:00,O,,,ADI,6300,155342,N,,LUIZ FUX,,S
16/08/2023,O,TP,Plenário,70809,23,2023,2023-08-16,,14:00,O,,,ADI,6305,155344,N,,LUIZ FUX,,S
17/08/2023,E,TP,Plenário,70810,24,2023,2023-08-17,,14:00,E,,,ADI,6298,155340,N,,LUIZ FUX,,S
17/08/2023,E,TP,Plenário,70810,24,2023,2023-08-17,,14:00,E,,,ADI,6299,155343,N,,LUIZ FUX,,S
17/08/2023,E,TP,Plenário,70810,24,2023,2023-08-17,,14:00,E,,,ADI,6300,155342,N,,LUIZ FUX,,S
17/08/2023,E,TP,Plenário,70810,24,2023,2023-08-17,,14:00,E,,,ADI,6305,155344,N,,LUIZ FUX,,S
23/08/2023,O,TP,Plenário,71483,24,2023,2023-08-23,,14:00,O,,,ADI,6298,155340,N,,LUIZ FUX,,S
23/08/2023,O,TP,Plenário,71483,24,2023,2023-08-23,,14:00,O,,,ADI,6299,155343,N,,LUIZ FUX,,S
23/08/2023,O,TP,Plenário,71483,24,2023,2023-08-23,,14:00,O,,,ADI,6300,155342,N,,LUIZ FUX,,S
23/08/2023,O,TP,Plenário,71483,24,2023,2023-08-23,,14:00,O,,,ADI,6305,155344,N,,LUIZ FUX,,S
24/08/2023,E,TP,Plenário,71484,25,2023,2023-08-24,,14:00,E,,,ADI,6298,155340,N,,LUIZ FUX,,J
24/08/2023,E,TP,Plenário,71484,25,2023,2023-08-24,,14:00,E,,,ADI,6299,155343,N,,LUIZ FUX,,J
24/08/2023,E,TP,Plenário,71484,25,2023,2023-08-24,,14:00,E,,,ADI,6300,155342,N,,LUIZ FUX,,J
24/08/2023,E,TP,Plenário,71484,25,2023,2023-08-24,,14:00,E,,,ADI,6305,155344,N,,LUIZ FUX,,J
24/08/2023,E,TP,Plenário,71484,25,2023,2023-08-24,,14:00,E,,,RE,635659,94206,N,MIN. DIAS TOFFOLI,GILMAR MENDES,S,S
30/08/2023,O,TP,Plenário,72072,25,2023,2023-08-30,,14:00,O,,,RE,1017365,154062,N,,EDSON FACHIN,S,S
31/08/2023,E,TP,Plenário,72073,26,2023,2023-08-31,,14:00,E,,,RE,1017365,154062,N,,EDSON FACHIN,S,S
05/09/2023,O,1T,Primeira Turma,72075,5,2023,2023-09-05,,14:30,O,,,Ext,1801,167090,N,,CÁRMEN LÚCIA,,J
05/09/2023,O,1T,Primeira Turma,72075,5,2023,2023-09-05,,14:30,O,,AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,893697,166951,N,,LUÍS ROBERTO BARROSO,,J
05/09/2023,O,1T,Primeira Turma,72075,5,2023,2023-09-05,,14:30,O,,AG.REG. NA RECLAMAÇÃO,Rcl,36337,166932,N,,LUÍS ROBERTO BARROSO,,J
06/09/2023,O,TP,Plenário,72149,26,2023,2023-09-06,,14:00,O,,,ADI,5783,166326,N,,ROSA WEBER,,J
13/09/2023,E,TP,Plenário,72169,27,2023,2023-09-13,,09:30,E,,,AP,1060,167035,N,,ALEXANDRE DE MORAES,,S
13/09/2023,O,TP,Plenário,72170,27,2023,2023-09-13,,14:00,O,,,AP,1060,167035,N,,ALEXANDRE DE MORAES,,S
14/09/2023,E,TP,Plenário,72171,28,2023,2023-09-14,,09:30,E,,,AP,1060,167035,N,,ALEXANDRE DE MORAES,,J
14/09/2023,E,TP,Plenário,72172,29,2023,2023-09-14,,14:00,E,,,AP,1502,167150,N,,ALEXANDRE DE MORAES,,J
14/09/2023,E,TP,Plenário,72172,29,2023,2023-09-14,,14:00,E,,,AP,1183,167095,N,,ALEXANDRE DE MORAES,,J
19/09/2023,O,2T,Segunda Turma,71554,10,2023,2023-09-19,,14:30,O,,AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,1369282,167093,N,,RICARDO LEWANDOWSKI,,J
19/09/2023,O,2T,Segunda Turma,71554,10,2023,2023-09-19,,14:30,O,,AG.REG. NA RECLAMAÇÃO,Rcl,53688,167092,N,,RICARDO LEWANDOWSKI,,S
20/09/2023,O,TP,Plenário,72173,28,2023,2023-09-20,,14:00,O,,,RE,1017365,154062,N,,EDSON FACHIN,S,S
