data,sessao_tipo,colegiado,colegiado_desc,sessao_id,sessao_numero,sessao_ano,sessao_data_inicio,sessao_data_fim,sessao_hora_inicio,sessao_tipo,sessao_obs,lista_tipo,lista_desc,lista_ministro,lista_min_id,lista_min_desc,lista_min_ordem,lista_min_qtd
15/06/2021,O,1T,Primeira Turma,55951,10,2021,2021-06-15,,14:00,O,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,104011,567-2021,1,2
15/06/2021,O,1T,Primeira Turma,55951,10,2021,2021-06-15,,14:00,O,,4,Listas de Destaques feitos no PV,ROSA WEBER,104634,252-2021,2,1
22/06/2021,O,2T,Segunda Turma,56191,19,2021,2021-06-22,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),GILMAR MENDES,104609,273-2021,1,1
22/06/2021,O,2T,Segunda Turma,56191,19,2021,2021-06-22,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,104010,305-2021,1,1
29/06/2021,O,1T,Primeira Turma,55952,11,2021,2021-06-29,,14:00,O,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,105262,716-2021,1,1
29/06/2021,O,1T,Primeira Turma,55952,11,2021,2021-06-29,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,105263,717-2021,2,1
29/06/2021,O,1T,Primeira Turma,55952,11,2021,2021-06-29,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,105264,718-2021,3,1
10/08/2021,O,2T,Segunda Turma,56590,22,2021,2021-08-10,,14:00,O,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",GILMAR MENDES,101174,105-2021,2,1
17/08/2021,O,1T,Primeira Turma,56711,13,2021,2021-08-17,,14:00,O,,4,Listas de Destaques feitos no PV,ALEXANDRE DE MORAES,105729,425-2021,1,1
17/08/2021,O,1T,Primeira Turma,56711,13,2021,2021-08-17,,14:00,O,,4,Listas de Destaques feitos no PV,ALEXANDRE DE MORAES,105750,427-2021,3,1
14/09/2021,O,2T,Segunda Turma,57030,23,2021,2021-09-14,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,107576,536-2021,1,1
21/09/2021,O,2T,Segunda Turma,57250,24,2021,2021-09-21,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,107593,537-2021,1,1
05/10/2021,O,2T,Segunda Turma,57370,25,2021,2021-10-05,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),NUNES MARQUES,108532,229-2021,1,1
05/10/2021,O,2T,Segunda Turma,57370,25,2021,2021-10-05,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),NUNES MARQUES,108551,230-2021,2,2
26/10/2021,O,2T,Segunda Turma,57490,26,2021,2021-10-26,,14:00,O,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",GILMAR MENDES,109251,502-2021,6,1
26/10/2021,O,2T,Segunda Turma,57490,26,2021,2021-10-26,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),NUNES MARQUES,108552,231-2021,1,2
09/11/2021,O,2T,Segunda Turma,57692,27,2021,2021-11-09,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,109739,353-2021,1,1
09/11/2021,O,2T,Segunda Turma,57692,27,2021,2021-11-09,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,109740,354-2021,2,1
09/11/2021,O,2T,Segunda Turma,57692,27,2021,2021-11-09,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,109741,355-2021,3,1
09/11/2021,O,2T,Segunda Turma,57692,27,2021,2021-11-09,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,109742,356-2021,4,1
09/11/2021,O,2T,Segunda Turma,57692,27,2021,2021-11-09,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,109790,685-2021,6,1
09/11/2021,O,2T,Segunda Turma,57692,27,2021,2021-11-09,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,109011,637-2021,7,1
09/11/2021,O,2T,Segunda Turma,57692,27,2021,2021-11-09,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,109076,638-2021,8,2
23/11/2021,O,2T,Segunda Turma,57731,29,2021,2021-11-23,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,99111,11-2021,3,1
23/11/2021,O,2T,Segunda Turma,57731,29,2021,2021-11-23,,14:00,O,,5,Listas de Devoluções de Vistas,GILMAR MENDES,74984,19-2019,1,1
07/12/2021,O,2T,Segunda Turma,57730,28,2021,2021-12-07,,14:00,O,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",GILMAR MENDES,110415,548-2021,3,4
14/12/2021,O,2T,Segunda Turma,58110,31,2021,2021-12-14,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,110797,383-2021,2,1
14/12/2021,O,2T,Segunda Turma,58110,31,2021,2021-12-14,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,109791,684-2021,1,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,84809,284-2019,51,9
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,84811,287-2019,54,7
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,84812,288-2019,55,2
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,84777,289-2019,56,2
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,85022,301-2019,65,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,85023,302-2019,66,2
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,85024,303-2019,67,2
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,85589,1-2020,1,3
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84769,275-2019,39,14
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84770,276-2019,40,6
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84789,277-2019,41,7
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84790,278-2019,42,3
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84791,279-2019,43,1
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84912,295-2019,57,6
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84893,296-2019,58,4
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84913,297-2019,59,3
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84914,298-2019,60,4
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,84915,299-2019,61,2
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,85076,305-2019,68,3
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,85313,309-2019,69,6
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,85314,310-2019,70,2
04/02/2020,O,1T,Primeira Turma,49949,1,2020,2020-02-04,,14:00,O,A ordem de publicação da pauta não significa ordem de pregão de processos na sessão. Os processos não julgados nessa assentada serão alocados em outra sessão disponível.,4,Listas de Destaques feitos no PV,ROSA WEBER,80384,83-2019,1,1
