dados,data,tipo,colegiados
"{""data"":""04/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",04/04/2022,PRESENCIAL,[]}
"{""data"":""10/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",10/04/2022,PRESENCIAL,[]}
"{""data"":""11/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",11/04/2022,PRESENCIAL,[]}
"{""data"":""12/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",12/04/2022,PRESENCIAL,[]}
"{""data"":""17/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",17/04/2022,PRESENCIAL,[]}
"{""data"":""18/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",18/04/2022,PRESENCIAL,[]}
"{""data"":""24/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",24/04/2022,PRESENCIAL,[]}
"{""data"":""25/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",25/04/2022,PRESENCIAL,[]}
"{""data"":""31/04/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",31/04/2022,PRESENCIAL,[]}
"{""data"":""01/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",01/05/2022,PRESENCIAL,[]}
"{""data"":""02/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",02/05/2022,PRESENCIAL,[]}
"{""data"":""07/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",07/05/2022,PRESENCIAL,[]}
"{""data"":""08/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",08/05/2022,PRESENCIAL,[]}
"{""data"":""09/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",09/05/2022,PRESENCIAL,[]}
"{""data"":""15/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",15/05/2022,PRESENCIAL,[]}
"{""data"":""22/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",22/05/2022,PRESENCIAL,[]}
"{""data"":""23/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",23/05/2022,PRESENCIAL,[]}
"{""data"":""28/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",28/05/2022,PRESENCIAL,[]}
"{""data"":""29/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",29/05/2022,PRESENCIAL,[]}
"{""data"":""30/05/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",30/05/2022,PRESENCIAL,[]}
"{""data"":""03/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",03/07/2022,PRESENCIAL,[]}
"{""data"":""04/07/2022"",""tipo"":""PRESENCIAL"",""colegiados"":[]}",04/07/2022,PRESENCIAL,[]}
